id,code,name,parent_id/id,user_type/id,type,reconcile
"marcos_l10n_do.default_chart_a_account_723","212021","I.S.R. RETENCIONES DE ASALARIADOS","marcos_l10n_do.default_chart_a_account_65","account.data_account_type_payable","A pagar","False"
"marcos_l10n_do.default_chart_a_account_68","212030","Infotep","marcos_l10n_do.default_chart_a_account_65","account.data_account_type_payable","A pagar","False"
"marcos_l10n_do.default_chart_a_account_69","212040","TSS","marcos_l10n_do.default_chart_a_account_65","account.data_account_type_payable","A pagar","False"
"marcos_l10n_do.default_chart_a_account_71","212060","ITBIS","marcos_l10n_do.default_chart_a_account_65","account.data_account_type_payable","Regular","False"
"marcos_l10n_do.default_chart_a_account_163","212061","ITBIS 18% retenido a personas fisicas","marcos_l10n_do.default_chart_a_account_65","account.data_account_type_payable","Regular","False"
"marcos_l10n_do.default_chart_a_account_712","212062","ISR 10% retenido a personas fisicas","marcos_l10n_do.default_chart_a_account_65","account.data_account_type_payable","Regular","False"
"marcos_l10n_do.default_chart_a_account_72","212070","Otras Retenciones","marcos_l10n_do.default_chart_a_account_65","account.data_account_type_payable","A pagar","False"
"marcos_l10n_do.default_chart_a_account_720","212080","Otros Impuestos Por Pagar","marcos_l10n_do.default_chart_a_account_65","account.data_account_type_payable","Regular","False"
"marcos_l10n_do.default_chart_a_account_73","3","Capital","marcos_l10n_do.default_chart_a_account_1","account.data_account_type_view","Vista","False"
"marcos_l10n_do.default_chart_a_account_74","31","Capital","marcos_l10n_do.default_chart_a_account_73","account.data_account_type_view","Vista","False"
"marcos_l10n_do.default_chart_a_account_75","311000","Capital Autorizado","marcos_l10n_do.default_chart_a_account_74","account.conf_account_type_equity","Regular","False"
"marcos_l10n_do.default_chart_a_account_76","312000","Acciones no emitidas","marcos_l10n_do.default_chart_a_account_74","account.conf_account_type_equity","Regular","False"
"marcos_l10n_do.default_chart_a_account_77","313000","Capital Social","marcos_l10n_do.default_chart_a_account_74","account.conf_account_type_equity","Regular","False"
"marcos_l10n_do.default_chart_a_account_78","32","Reservas","marcos_l10n_do.default_chart_a_account_73","account.data_account_type_view","Vista","False"
"marcos_l10n_do.default_chart_a_account_79","321000","Reserva Legal","marcos_l10n_do.default_chart_a_account_78","account.conf_account_type_equity","Regular","False"
"marcos_l10n_do.default_chart_a_account_80","322000","Reservas para Contingencias","marcos_l10n_do.default_chart_a_account_78","account.conf_account_type_equity","Regular","False"
"marcos_l10n_do.default_chart_a_account_81","33","Superavit","marcos_l10n_do.default_chart_a_account_73","account.data_account_type_view","Vista","False"
"marcos_l10n_do.default_chart_a_account_82","331000","Ganancias retenidas años anteriores","marcos_l10n_do.default_chart_a_account_81","account.conf_account_type_equity","Regular","False"
